"Label (Grouping)","ZCTA5 90043!!Total!!Estimate","ZCTA5 90043!!Total!!Margin of Error","ZCTA5 90043!!Percent!!Estimate","ZCTA5 90043!!Percent!!Margin of Error","ZCTA5 90043!!Male!!Estimate","ZCTA5 90043!!Male!!Margin of Error","ZCTA5 90043!!Percent Male!!Estimate","ZCTA5 90043!!Percent Male!!Margin of Error","ZCTA5 90043!!Female!!Estimate","ZCTA5 90043!!Female!!Margin of Error","ZCTA5 90043!!Percent Female!!Estimate","ZCTA5 90043!!Percent Female!!Margin of Error","ZCTA5 90045!!Total!!Estimate","ZCTA5 90045!!Total!!Margin of Error","ZCTA5 90045!!Percent!!Estimate","ZCTA5 90045!!Percent!!Margin of Error","ZCTA5 90045!!Male!!Estimate","ZCTA5 90045!!Male!!Margin of Error","ZCTA5 90045!!Percent Male!!Estimate","ZCTA5 90045!!Percent Male!!Margin of Error","ZCTA5 90045!!Female!!Estimate","ZCTA5 90045!!Female!!Margin of Error","ZCTA5 90045!!Percent Female!!Estimate","ZCTA5 90045!!Percent Female!!Margin of Error","ZCTA5 90250!!Total!!Estimate","ZCTA5 90250!!Total!!Margin of Error","ZCTA5 90250!!Percent!!Estimate","ZCTA5 90250!!Percent!!Margin of Error","ZCTA5 90250!!Male!!Estimate","ZCTA5 90250!!Male!!Margin of Error","ZCTA5 90250!!Percent Male!!Estimate","ZCTA5 90250!!Percent Male!!Margin of Error","ZCTA5 90250!!Female!!Estimate","ZCTA5 90250!!Female!!Margin of Error","ZCTA5 90250!!Percent Female!!Estimate","ZCTA5 90250!!Percent Female!!Margin of Error","ZCTA5 90301!!Total!!Estimate","ZCTA5 90301!!Total!!Margin of Error","ZCTA5 90301!!Percent!!Estimate","ZCTA5 90301!!Percent!!Margin of Error","ZCTA5 90301!!Male!!Estimate","ZCTA5 90301!!Male!!Margin of Error","ZCTA5 90301!!Percent Male!!Estimate","ZCTA5 90301!!Percent Male!!Margin of Error","ZCTA5 90301!!Female!!Estimate","ZCTA5 90301!!Female!!Margin of Error","ZCTA5 90301!!Percent Female!!Estimate","ZCTA5 90301!!Percent Female!!Margin of Error","ZCTA5 90302!!Total!!Estimate","ZCTA5 90302!!Total!!Margin of Error","ZCTA5 90302!!Percent!!Estimate","ZCTA5 90302!!Percent!!Margin of Error","ZCTA5 90302!!Male!!Estimate","ZCTA5 90302!!Male!!Margin of Error","ZCTA5 90302!!Percent Male!!Estimate","ZCTA5 90302!!Percent Male!!Margin of Error","ZCTA5 90302!!Female!!Estimate","ZCTA5 90302!!Female!!Margin of Error","ZCTA5 90302!!Percent Female!!Estimate","ZCTA5 90302!!Percent Female!!Margin of Error","ZCTA5 90303!!Total!!Estimate","ZCTA5 90303!!Total!!Margin of Error","ZCTA5 90303!!Percent!!Estimate","ZCTA5 90303!!Percent!!Margin of Error","ZCTA5 90303!!Male!!Estimate","ZCTA5 90303!!Male!!Margin of Error","ZCTA5 90303!!Percent Male!!Estimate","ZCTA5 90303!!Percent Male!!Margin of Error","ZCTA5 90303!!Female!!Estimate","ZCTA5 90303!!Female!!Margin of Error","ZCTA5 90303!!Percent Female!!Estimate","ZCTA5 90303!!Percent Female!!Margin of Error","ZCTA5 90304!!Total!!Estimate","ZCTA5 90304!!Total!!Margin of Error","ZCTA5 90304!!Percent!!Estimate","ZCTA5 90304!!Percent!!Margin of Error","ZCTA5 90304!!Male!!Estimate","ZCTA5 90304!!Male!!Margin of Error","ZCTA5 90304!!Percent Male!!Estimate","ZCTA5 90304!!Percent Male!!Margin of Error","ZCTA5 90304!!Female!!Estimate","ZCTA5 90304!!Female!!Margin of Error","ZCTA5 90304!!Percent Female!!Estimate","ZCTA5 90304!!Percent Female!!Margin of Error","ZCTA5 90305!!Total!!Estimate","ZCTA5 90305!!Total!!Margin of Error","ZCTA5 90305!!Percent!!Estimate","ZCTA5 90305!!Percent!!Margin of Error","ZCTA5 90305!!Male!!Estimate","ZCTA5 90305!!Male!!Margin of Error","ZCTA5 90305!!Percent Male!!Estimate","ZCTA5 90305!!Percent Male!!Margin of Error","ZCTA5 90305!!Female!!Estimate","ZCTA5 90305!!Female!!Margin of Error","ZCTA5 90305!!Percent Female!!Estimate","ZCTA5 90305!!Percent Female!!Margin of Error"
"    Less than high school graduate","(X)","(X)","28.2%","±6.6","(X)","(X)","25.3%","±8.2","(X)","(X)","31.3%","±8.4","(X)","(X)","33.2%","±15.2","(X)","(X)","28.9%","±19.5","(X)","(X)","36.2%","±21.9","(X)","(X)","22.1%","±4.3","(X)","(X)","21.6%","±4.9","(X)","(X)","22.6%","±4.8","(X)","(X)","17.4%","±4.3","(X)","(X)","17.7%","±6.4","(X)","(X)","17.2%","±5.1","(X)","(X)","18.1%","±5.7","(X)","(X)","7.4%","±4.5","(X)","(X)","27.1%","±8.6","(X)","(X)","15.6%","±4.1","(X)","(X)","12.9%","±5.7","(X)","(X)","18.1%","±5.5","(X)","(X)","14.1%","±3.7","(X)","(X)","12.4%","±4.5","(X)","(X)","16.0%","±5.4","(X)","(X)","17.3%","±12.6","(X)","(X)","14.5%","±12.0","(X)","(X)","20.5%","±16.7"
"    High school graduate (includes equivalency)","(X)","(X)","19.1%","±4.5","(X)","(X)","20.0%","±6.2","(X)","(X)","18.2%","±5.7","(X)","(X)","7.1%","±5.1","(X)","(X)","3.9%","±3.9","(X)","(X)","10.0%","±9.5","(X)","(X)","16.5%","±3.4","(X)","(X)","17.5%","±3.8","(X)","(X)","15.4%","±3.9","(X)","(X)","19.3%","±5.4","(X)","(X)","23.9%","±8.1","(X)","(X)","12.8%","±5.7","(X)","(X)","11.4%","±5.0","(X)","(X)","9.6%","±6.2","(X)","(X)","13.7%","±7.0","(X)","(X)","12.6%","±3.5","(X)","(X)","11.6%","±4.5","(X)","(X)","13.9%","±5.5","(X)","(X)","20.1%","±5.7","(X)","(X)","14.4%","±6.8","(X)","(X)","26.7%","±8.4","(X)","(X)","16.2%","±5.8","(X)","(X)","17.5%","±8.4","(X)","(X)","15.0%","±6.1"
"    Some college or associate's degree","(X)","(X)","15.4%","±2.7","(X)","(X)","17.7%","±4.6","(X)","(X)","13.7%","±3.3","(X)","(X)","9.2%","±3.4","(X)","(X)","6.0%","±3.3","(X)","(X)","11.9%","±4.9","(X)","(X)","7.2%","±1.6","(X)","(X)","4.6%","±1.6","(X)","(X)","9.4%","±2.6","(X)","(X)","19.2%","±4.1","(X)","(X)","23.2%","±7.2","(X)","(X)","14.8%","±4.8","(X)","(X)","13.0%","±4.5","(X)","(X)","16.7%","±7.1","(X)","(X)","10.2%","±4.7","(X)","(X)","10.2%","±4.0","(X)","(X)","8.2%","±4.4","(X)","(X)","12.2%","±5.6","(X)","(X)","12.7%","±5.9","(X)","(X)","8.8%","±6.4","(X)","(X)","16.0%","±8.8","(X)","(X)","7.5%","±3.4","(X)","(X)","8.2%","±5.3","(X)","(X)","6.9%","±3.7"
"    Bachelor's degree or higher","(X)","(X)","7.4%","±2.4","(X)","(X)","7.3%","±4.0","(X)","(X)","7.5%","±2.9","(X)","(X)","4.0%","±1.2","(X)","(X)","4.5%","±1.8","(X)","(X)","3.7%","±1.5","(X)","(X)","6.7%","±1.6","(X)","(X)","5.9%","±1.8","(X)","(X)","7.4%","±2.2","(X)","(X)","10.2%","±4.7","(X)","(X)","10.2%","±7.5","(X)","(X)","10.2%","±5.4","(X)","(X)","6.8%","±3.5","(X)","(X)","5.8%","±4.4","(X)","(X)","7.4%","±4.4","(X)","(X)","4.1%","±2.6","(X)","(X)","4.6%","±3.7","(X)","(X)","3.8%","±2.7","(X)","(X)","5.6%","±3.8","(X)","(X)","3.8%","±3.9","(X)","(X)","7.0%","±5.8","(X)","(X)","6.6%","±3.8","(X)","(X)","8.0%","±7.7","(X)","(X)","5.7%","±4.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","47,075","±2,630","(X)","(X)","46,985","±4,920","(X)","(X)","47,202","±3,888","(X)","(X)","80,720","±4,180","(X)","(X)","88,997","±7,801","(X)","(X)","72,959","±5,814","(X)","(X)","42,221","±1,564","(X)","(X)","47,731","±2,721","(X)","(X)","36,535","±1,304","(X)","(X)","36,269","±2,238","(X)","(X)","38,064","±2,141","(X)","(X)","33,466","±2,935","(X)","(X)","39,820","±3,598","(X)","(X)","37,969","±6,645","(X)","(X)","40,649","±3,777","(X)","(X)","36,359","±2,752","(X)","(X)","41,806","±3,531","(X)","(X)","29,534","±3,169","(X)","(X)","31,407","±2,107","(X)","(X)","32,856","±2,445","(X)","(X)","29,593","±2,721","(X)","(X)","48,497","±7,977","(X)","(X)","54,719","±10,015","(X)","(X)","43,344","±9,212","(X)","(X)"
"        Less than high school graduate","29,652","±2,726","(X)","(X)","31,116","±2,452","(X)","(X)","20,875","±6,927","(X)","(X)","31,806","±27,279","(X)","(X)","-","**","(X)","(X)","31,058","±24,645","(X)","(X)","28,894","±1,718","(X)","(X)","33,357","±2,245","(X)","(X)","25,891","±1,541","(X)","(X)","29,885","±2,985","(X)","(X)","34,033","±2,825","(X)","(X)","27,887","±2,423","(X)","(X)","26,854","±2,492","(X)","(X)","27,678","±1,905","(X)","(X)","22,273","±10,471","(X)","(X)","25,940","±1,922","(X)","(X)","28,671","±3,557","(X)","(X)","20,547","±5,861","(X)","(X)","27,526","±2,590","(X)","(X)","28,595","±3,883","(X)","(X)","25,928","±3,915","(X)","(X)","36,034","±7,721","(X)","(X)","36,394","±15,549","(X)","(X)","35,673","±18,445","(X)","(X)"
"        High school graduate (includes equivalency)","38,715","±6,114","(X)","(X)","44,172","±5,946","(X)","(X)","33,280","±7,351","(X)","(X)","44,853","±7,486","(X)","(X)","52,768","±13,194","(X)","(X)","36,518","±7,717","(X)","(X)","34,478","±3,001","(X)","(X)","38,224","±3,771","(X)","(X)","29,277","±3,598","(X)","(X)","33,137","±3,866","(X)","(X)","38,274","±3,725","(X)","(X)","28,215","±2,819","(X)","(X)","34,193","±2,191","(X)","(X)","35,573","±13,443","(X)","(X)","32,560","±4,717","(X)","(X)","33,586","±4,590","(X)","(X)","41,438","±9,694","(X)","(X)","27,619","±5,906","(X)","(X)","28,394","±5,143","(X)","(X)","28,845","±6,758","(X)","(X)","27,703","±6,708","(X)","(X)","36,934","±5,992","(X)","(X)","40,266","±24,433","(X)","(X)","35,645","±5,126","(X)","(X)"
"        Some college or associate's degree","45,316","±3,983","(X)","(X)","46,901","±12,725","(X)","(X)","44,720","±5,968","(X)","(X)","51,205","±8,627","(X)","(X)","49,047","±10,437","(X)","(X)","57,574","±13,030","(X)","(X)","45,644","±2,953","(X)","(X)","54,138","±6,984","(X)","(X)","37,117","±3,615","(X)","(X)","36,483","±4,459","(X)","(X)","36,943","±5,023","(X)","(X)","35,967","±6,498","(X)","(X)","37,456","±4,647","(X)","(X)","36,046","±5,290","(X)","(X)","39,078","±6,239","(X)","(X)","44,697","±2,259","(X)","(X)","48,533","±8,485","(X)","(X)","38,750","±7,185","(X)","(X)","38,446","±4,625","(X)","(X)","45,390","±4,825","(X)","(X)","31,069","±3,931","(X)","(X)","41,829","±4,212","(X)","(X)","46,287","±11,788","(X)","(X)","34,759","±5,967","(X)","(X)"
"        Bachelor's degree","65,594","±9,088","(X)","(X)","64,129","±17,634","(X)","(X)","68,250","±13,842","(X)","(X)","92,408","±6,495","(X)","(X)","113,466","±16,212","(X)","(X)","82,335","±6,205","(X)","(X)","61,786","±3,993","(X)","(X)","68,594","±9,591","(X)","(X)","54,408","±8,549","(X)","(X)","50,203","±5,849","(X)","(X)","46,563","±4,796","(X)","(X)","52,274","±10,826","(X)","(X)","58,247","±5,910","(X)","(X)","65,911","±16,644","(X)","(X)","55,579","±5,936","(X)","(X)","51,076","±14,438","(X)","(X)","64,352","±13,316","(X)","(X)","39,661","±14,692","(X)","(X)","42,465","±10,885","(X)","(X)","46,458","±14,313","(X)","(X)","40,909","±17,300","(X)","(X)","59,667","±12,655","(X)","(X)","93,203","±43,431","(X)","(X)","53,605","±3,849","(X)","(X)"
"        Graduate or professional degree","97,434","±16,776","(X)","(X)","106,750","±36,492","(X)","(X)","93,571","±34,102","(X)","(X)","100,353","±12,178","(X)","(X)","117,229","±13,630","(X)","(X)","83,703","±14,536","(X)","(X)","80,470","±11,497","(X)","(X)","82,064","±21,212","(X)","(X)","72,721","±11,117","(X)","(X)","89,861","±25,296","(X)","(X)","71,716","±20,414","(X)","(X)","97,833","±22,345","(X)","(X)","76,953","±10,114","(X)","(X)","83,661","±16,308","(X)","(X)","75,052","±12,116","(X)","(X)","68,878","±20,345","(X)","(X)","99,896","±48,362","(X)","(X)","68,141","±32,066","(X)","(X)","62,639","±45,395","(X)","(X)","90,909","±58,266","(X)","(X)","54,538","±44,710","(X)","(X)","90,192","±18,185","(X)","(X)","93,516","±37,064","(X)","(X)","86,641","±17,247","(X)","(X)"
